-2.5681,0.0832,-16.672634421,60.7545,2.2247,40.5695,2018-01-19 06:15:23.349Z,Ax = -0.0441	Ay = -0.0110	Az = -0.2642	ypr = (40.5695   2.2247   60.7545)
-1.9669,2.4573,-17.443799077,90.6052,9.1467,34.8782,2018-01-19 06:15:23.450Z,Ax = -0.0378	Ay = 0.0115	Az = -0.2493	ypr = (34.8782   9.1467   90.6052)
-2.8453,5.4759,-18.260233220,110.2187,11.1457,27.1125,2018-01-19 06:15:23.550Z,Ax = -0.0341	Ay = 0.0556	Az = -0.2427	ypr = (27.1125   11.1457   110.2187)
-3.4843,2.6572,-18.057016367,114.7429,8.7161,23.2406,2018-01-19 06:15:23.646Z,Ax = -0.0390	Ay = 0.0599	Az = -0.2512	ypr = (23.2406   8.7161   114.7429)
-3.0571,0.9025,-17.671726307,113.3480,6.6619,21.0729,2018-01-19 06:15:23.750Z,Ax = -0.0458	Ay = 0.0410	Az = -0.2579	ypr = (21.0729   6.6619   113.3480)
-3.2602,0.3122,-18.260801669,111.7604,5.1535,17.0613,2018-01-19 06:15:23.848Z,Ax = -0.0496	Ay = 0.0097	Az = -0.2583	ypr = (17.0613   5.1535   111.7604)
-2.4085,1.9920,-18.760073491,107.1186,2.9577,12.7998,2018-01-19 06:15:23.946Z,Ax = -0.0398	Ay = 0.0080	Az = -0.2600	ypr = (12.7998   2.9577   107.1186)
-1.8428,2.0512,-18.219407375,91.8297,-0.5504,10.1124,2018-01-19 06:15:24.049Z,Ax = -0.0306	Ay = 0.0207	Az = -0.2618	ypr = (10.1124   -0.5504   91.8297)
-1.6671,-0.9330,-17.609899332,70.3244,-5.8861,11.2689,2018-01-19 06:15:24.149Z,Ax = -0.0242	Ay = 0.0109	Az = -0.2581	ypr = (11.2689   -5.8861   70.3244)
-1.2338,-4.3477,-18.879025103,47.2615,-12.4817,11.0916,2018-01-19 06:15:24.247Z,Ax = -0.0182	Ay = -0.0299	Az = -0.2605	ypr = (11.0916   -12.4817   47.2615)
0.3918,-5.6839,-19.707084653,24.0504,-17.2421,12.2203,2018-01-19 06:15:24.349Z,Ax = -0.0046	Ay = -0.0732	Az = -0.2691	ypr = (12.2203   -17.2421   24.0504)
1.5487,-5.3992,-19.499979951,8.9460,-18.9003,13.3516,2018-01-19 06:15:24.447Z,Ax = 0.0125	Ay = -0.0904	Az = -0.2787	ypr = (13.3516   -18.9003   8.9460)
1.1364,-4.5724,-19.571345943,5.1741,-17.4551,16.1038,2018-01-19 06:15:24.548Z,Ax = 0.0213	Ay = -0.0799	Az = -0.2827	ypr = (16.1038   -17.4551   5.1741)
0.5927,-3.6647,-19.294442199,5.0366,-15.3915,18.9027,2018-01-19 06:15:24.648Z,Ax = 0.0186	Ay = -0.0601	Az = -0.2769	ypr = (18.9027   -15.3915   5.0366)
0.0397,-3.4223,-19.558053168,4.4542,-13.8276,21.3988,2018-01-19 06:15:24.748Z,Ax = 0.0062	Ay = -0.0487	Az = -0.2756	ypr = (21.3988   -13.8276   4.4542)
-0.0146,-3.0783,-19.228010440,2.9603,-13.0692,23.3414,2018-01-19 06:15:24.848Z,Ax = -0.0015	Ay = -0.0430	Az = -0.2742	ypr = (23.3414   -13.0692   2.9603)
0.1325,-2.7740,-18.085746799,3.3032,-11.6096,25.7386,2018-01-19 06:15:24.947Z,Ax = -0.0015	Ay = -0.0400	Az = -0.2656	ypr = (25.7386   -11.6096   3.3032)
-0.0210,-2.6517,-19.085956275,2.3092,-12.1911,27.4013,2018-01-19 06:15:25.048Z,Ax = -0.0003	Ay = -0.0377	Az = -0.2661	ypr = (27.4013   -12.1911   2.3092)
-0.6775,-2.2487,-20.620834653,2.3310,-11.7423,29.3614,2018-01-19 06:15:25.148Z,Ax = -0.0046	Ay = -0.0336	Az = -0.2773	ypr = (29.3614   -11.7423   2.3310)
-1.0206,-1.1378,-19.077050931,4.4284,-9.4157,31.6909,2018-01-19 06:15:25.249Z,Ax = -0.0111	Ay = -0.0236	Az = -0.2788	ypr = (31.6909   -9.4157   4.4284)
-1.8655,-1.9510,-19.914324652,6.9743,-7.8599,33.8383,2018-01-19 06:15:25.348Z,Ax = -0.0221	Ay = -0.0232	Az = -0.2858	ypr = (33.8383   -7.8599   6.9743)
-1.6382,-0.3448,-19.472506582,12.1731,-4.8587,35.8417,2018-01-19 06:15:25.448Z,Ax = -0.0253	Ay = -0.0109	Az = -0.2775	ypr = (35.8417   -4.8587   12.1731)
-3.4437,0.1477,-18.628228145,10.0521,0.6414,34.7872,2018-01-19 06:15:25.549Z,Ax = -0.0397	Ay = -0.0040	Az = -0.2696	ypr = (34.7872   0.6414   10.0521)
-5.6374,2.9698,-19.309748339,2.2448,8.4013,37.1922,2018-01-19 06:15:25.648Z,Ax = -0.0629	Ay = 0.0245	Az = -0.2714	ypr = (37.1922   8.4013   2.2448)
-8.0767,5.2682,-12.284402874,1.9982,27.7430,37.3290,2018-01-19 06:15:25.747Z,Ax = -0.0982	Ay = 0.0582	Az = -0.2184	ypr = (37.3290   27.7430   1.9982)
-8.0515,2.6645,-2.910343112,-2.2778,43.1612,34.2385,2018-01-19 06:15:25.851Z,Ax = -0.1186	Ay = 0.0591	Az = -0.1167	ypr = (34.2385   43.1612   -2.2778)
